Date,Product,Sales
2026-05-01,Mohinga,3500
2026-05-02,Laphet Thoke,2800
2026-05-03,Laphet Ye (Sweet Tea),4500
2026-05-04,E Kyar Kway,1500
2026-05-05,Steamed Pea & Naan,3200
2026-05-06,Samosa,1200
2026-05-07,Mohinga,3700
2026-05-08,Laphet Ye (Sweet Tea),4800
2026-05-09,Laphet Thoke,3100
2026-05-10,Steamed Pea & Naan,3400
2026-05-11,Mohinga,3900
2026-05-12,Laphet Ye (Sweet Tea),5200
2026-05-13,E Kyar Kway,1800
2026-05-14,Samosa,1400
2026-05-15,Laphet Thoke,3300
2026-05-16,Mohinga,4200
2026-05-17,Laphet Ye (Sweet Tea),5500
2026-05-18,Steamed Pea & Naan,3600
2026-05-19,E Kyar Kway,2000
2026-05-20,Samosa,1600
2026-05-21,Laphet Thoke,3500
2026-05-22,Mohinga,4500
2026-05-23,Laphet Ye (Sweet Tea),6000
2026-05-24,Steamed Pea & Naan,3800
2026-05-25,E Kyar Kway,2200
2026-05-26,Samosa,1800
2026-05-27,Laphet Thoke,3800
2026-05-28,Mohinga,4800
