Date,Product,Sales
2026-05-01,Yaw Longyi,18000
2026-05-02,Kachin Htamein,22000
2026-05-03,Silk Longyi,35000
2026-05-04,Myanmar Traditional Jacket,45000
2026-05-05,Batik Htamein,15000
2026-05-06,Shan Traditional Dress,28000
2026-05-07,Yaw Longyi,19000
2026-05-08,Kachin Htamein,24000
2026-05-09,Silk Longyi,37000
2026-05-10,Myanmar Traditional Jacket,48000
2026-05-11,Batik Htamein,16000
2026-05-12,Shan Traditional Dress,30000
2026-05-13,Yaw Longyi,20000
2026-05-14,Kachin Htamein,26000
2026-05-15,Silk Longyi,39000
2026-05-16,Myanmar Traditional Jacket,51000
2026-05-17,Batik Htamein,17000
2026-05-18,Shan Traditional Dress,32000
2026-05-19,Yaw Longyi,21000
2026-05-20,Kachin Htamein,28000
2026-05-21,Silk Longyi,41000
2026-05-22,Myanmar Traditional Jacket,54000
2026-05-23,Batik Htamein,18000
2026-05-24,Shan Traditional Dress,34000
2026-05-25,Yaw Longyi,22000
2026-05-26,Kachin Htamein,30000
2026-05-27,Silk Longyi,43000
2026-05-28,Myanmar Traditional Jacket,57000
